,state,colonies_number,yield_per_colony,production,average_price,year
734,Mississippi,18000,118,64000,177.0,2012
735,Missouri,7000,53,108000,280.0,2012
736,Montana,145000,52,2413000,195.0,2012
737,Nebraska,43000,65,1146000,193.0,2012
738,NewJersey,14000,33,51000,197.0,2012
739,NewMexico,5000,52,99000,339.0,2012
740,NewYork,51000,51,988000,223.0,2012
741,NorthCarolina,13000,39,106000,376.0,2012
742,NorthDakota,480000,69,5962000,192.0,2012
743,Ohio,18000,60,410000,246.0,2012
744,Oregon,60000,32,845000,216.0,2012
745,Pennsylvania,16000,60,269000,257.0,2012
746,SouthDakota,260000,63,3604000,195.0,2012
747,Tennessee,6000,61,59000,293.0,2012
748,Texas,92000,52,718000,200.0,2012
749,Utah,25000,38,209000,187.0,2012
750,Vermont,4000,60,53000,239.0,2012
751,Virginia,4000,41,23000,377.0,2012
752,Washington,62000,41,1017000,238.0,2012
753,WestVirginia,6000,48,95000,291.0,2012
754,Wisconsin,60000,69,1863000,205.0,2012
755,Wyoming,50000,51,459000,187.0,2012
756,Alabama,7000,52,55000,285.0,2013
757,Arizona,29000,36,251000,196.0,2013
758,Arkansas,22000,60,66000,202.0,2013
759,California,330000,33,2505000,211.0,2013
760,Colorado,26000,43,324000,210.0,2013
761,Florida,220000,61,1074000,203.0,2013
762,Georgia,67000,50,637000,226.0,2013
763,Hawaii,13000,83,65000,197.0,2013
764,Idaho,83000,32,1036000,202.0,2013
765,Illinois,7000,48,101000,419.0,2013
766,Indiana,6000,47,82000,277.0,2013
767,Iowa,39000,48,1217000,245.0,2013
768,Kansas,6000,46,39000,250.0,2013
769,Kentucky,3000,41,17000,325.0,2013
770,Louisiana,50000,98,490000,189.0,2013
771,Maine,7000,43,27000,314.0,2013
772,Michigan,85000,55,982000,216.0,2013
773,Minnesota,130000,58,1282000,199.0,2013
774,Mississippi,17000,116,39000,186.0,2013
775,Missouri,10000,47,85000,262.0,2013
776,Montana,159000,94,5231000,209.0,2013
777,Nebraska,46000,60,1628000,207.0,2013
778,NewJersey,11000,44,34000,419.0,2013
779,NewYork,55000,48,1030000,212.0,2013
780,NorthCarolina,10000,38,84000,367.0,2013
781,NorthDakota,480000,69,6955000,204.0,2013
782,Ohio,17000,45,390000,329.0,2013
783,Oregon,62000,35,456000,239.0,2013
784,Pennsylvania,13000,45,257000,303.0,2013
785,SouthDakota,265000,56,6381000,207.0,2013
786,Tennessee,7000,45,63000,355.0,2013
787,Texas,106000,59,1689000,210.0,2013
788,Utah,30000,34,92000,209.0,2013
789,Vermont,3000,51,46000,389.0,2013
790,Virginia,5000,35,42000,450.0,2013
791,Washington,69000,39,1023000,230.0,2013
792,WestVirginia,6000,46,83000,366.0,2013
793,Wisconsin,59000,60,1558000,238.0,2013
794,Wyoming,47000,66,558000,211.0,2013
795,Alabama,7000,53,26000,353.0,2014
796,Arizona,26000,39,193000,192.0,2014
797,Arkansas,21000,65,137000,204.0,2014
798,California,320000,39,2995000,206.0,2014
799,Colorado,27000,37,200000,211.0,2014
800,Florida,245000,60,1029000,208.0,2014
801,Georgia,73000,62,362000,219.0,2014
802,Hawaii,15000,93,140000,229.0,2014
803,Idaho,100000,34,850000,203.0,2014
804,Illinois,8000,49,94000,411.0,2014
805,Indiana,5000,62,115000,319.0,2014
806,Iowa,35000,43,933000,241.0,2014
807,Kansas,7000,75,84000,238.0,2014
808,Kentucky,5000,47,56000,396.0,2014
809,Louisiana,48000,84,524000,218.0,2014
810,Maine,8000,47,41000,499.0,2014
811,Michigan,91000,63,1835000,249.0,2014
812,Minnesota,132000,60,1426000,206.0,2014
813,Mississippi,20000,112,45000,201.0,2014
814,Missouri,12000,47,96000,363.0,2014
815,Montana,162000,88,5132000,209.0,2014
816,Nebraska,50000,75,1688000,204.0,2014
817,NewJersey,12000,30,119000,313.0,2014
818,NewYork,60000,55,1518000,283.0,2014
819,NorthCarolina,12000,43,88000,349.0,2014
820,NorthDakota,490000,86,9271000,199.0,2014
821,Ohio,15000,61,256000,358.0,2014
822,Oregon,71000,40,767000,220.0,2014
823,Pennsylvania,17000,46,203000,291.0,2014
824,SouthCarolina,9000,54,19000,397.0,2014
825,SouthDakota,280000,87,5846000,208.0,2014
826,Tennessee,7000,63,88000,376.0,2014
827,Texas,116000,78,2081000,224.0,2014
828,Utah,29000,28,130000,213.0,2014
829,Vermont,3000,58,61000,489.0,2014
830,Virginia,6000,41,57000,468.0,2014
831,Washington,68000,44,1167000,261.0,2014
832,WestVirginia,6000,31,33000,407.0,2014
833,Wisconsin,53000,54,1030000,238.0,2014
834,Wyoming,38000,61,255000,208.0,2014
835,Alabama,7000,47,13000,383.0,2015
836,Arizona,26000,49,306000,203.0,2015
837,Arkansas,24000,72,121000,206.0,2015
838,California,275000,30,1485000,203.0,2015
839,Colorado,29000,51,399000,226.0,2015
840,Florida,220000,54,832000,197.0,2015
841,Georgia,69000,40,221000,243.0,2015
842,Hawaii,14000,102,71000,191.0,2015
843,Idaho,89000,32,1082000,193.0,2015
844,Illinois,8000,51,155000,466.0,2015
845,Indiana,6000,53,165000,323.0,2015
846,Iowa,36000,50,990000,220.0,2015
847,Kansas,8000,36,107000,350.0,2015
848,Kentucky,5000,46,55000,404.0,2015
849,Louisiana,44000,99,348000,195.0,2015
850,Maine,10000,47,47000,543.0,2015
851,Michigan,90000,58,1984000,244.0,2015
852,Minnesota,122000,68,2157000,184.0,2015
853,Mississippi,15000,83,87000,240.0,2015
854,Missouri,10000,52,52000,355.0,2015
855,Montana,146000,83,3757000,194.0,2015
856,Nebraska,57000,48,1450000,204.0,2015
857,NewJersey,12000,27,207000,420.0,2015
858,NewYork,58000,62,899000,294.0,2015
859,NorthCarolina,12000,45,103000,451.0,2015
860,NorthDakota,490000,74,9428000,180.0,2015
861,Ohio,17000,50,357000,360.0,2015
862,Oregon,71000,38,809000,243.0,2015
863,Pennsylvania,17000,53,225000,362.0,2015
864,SouthCarolina,14000,67,38000,410.0,2015
865,SouthDakota,290000,66,9379000,179.0,2015
866,Tennessee,7000,59,78000,404.0,2015
867,Texas,126000,66,1164000,210.0,2015
868,Utah,27000,42,147000,192.0,2015
869,Vermont,5000,52,62000,423.0,2015
